step,run_id,timestamp,name,num_citizens="100",num_corporate_media="3",num_influencers="5",num_government="1",network_type="small_world",steps="75",simulationName="workit",truth_seeking_mean="0",truth_seeking_std="2.5",confirmation_bias_min="3",confirmation_bias_max="8",critical_thinking_min="3",critical_thinking_max="8",social_conformity_min="3",social_conformity_max="8",initial_trust_in_corporate="5",initial_trust_in_influencers="5",initial_trust_in_government="5",corporate_bias_min="-3",corporate_bias_max="3",truth_commitment_corporate="6",corporate_publication_rate="1",corporate_influence_reach="0.7",influencer_bias_min="-4",influencer_bias_max="4",truth_commitment_influencer="4",influencer_publication_rate="1",influencer_influence_reach="0.5",government_bias="1",truth_commitment_government="5",government_publication_rate="1",government_influence_reach="0.6",small_world_k="4",small_world_p="0.1",scale_free_m="3",random_p="0.1",avg_trust_corporate,avg_trust_government,avg_trust_influencer,avg_truth_assessment,trust_var_corporate,trust_var_government,trust_var_influencer
33,run_1745405532,2025-04-23 06:52:12,workit,"100","3","5","1","small_world","75","workit","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.005660995865604,4.793232196642782,4.8035814818621585,0.46348694749377145,4.966548132781543e-05,0.04431479511880562,0.02704141611317484
34,run_1745405532,2025-04-23 06:52:12,workit,"100","3","5","1","small_world","75","workit","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.005660995865604,4.793232196642782,4.8035814818621585,0.4634540755444449,4.966548132781543e-05,0.04431479511880562,0.02704141611317484
35,run_1745405532,2025-04-23 06:52:12,workit,"100","3","5","1","small_world","75","workit","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.005660995865604,4.793232196642782,4.8035814818621585,0.4634247060805911,4.966548132781543e-05,0.04431479511880562,0.02704141611317484
36,run_1745405532,2025-04-23 06:52:12,workit,"100","3","5","1","small_world","75","workit","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.005660995865604,4.793232196642782,4.800055348172126,0.4632452921236048,4.966548132781543e-05,0.04431479511880562,0.026887148466068708
37,run_1745405532,2025-04-23 06:52:12,workit,"100","3","5","1","small_world","75","workit","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.005660995865604,4.793232196642782,4.79730974743713,0.46300529500816934,4.966548132781543e-05,0.04431479511880562,0.026535506116239515
38,run_1745405532,2025-04-23 06:52:12,workit,"100","3","5","1","small_world","75","workit","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.005660995865604,4.793232196642782,4.79730974743713,0.462981177474478,4.966548132781543e-05,0.04431479511880562,0.026535506116239515
39,run_1745405532,2025-04-23 06:52:12,workit,"100","3","5","1","small_world","75","workit","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.005660995865604,4.793232196642782,4.790204213089234,0.4624708437164122,4.966548132781543e-05,0.04431479511880562,0.026185014685096503
40,run_1745405532,2025-04-23 06:52:12,workit,"100","3","5","1","small_world","75","workit","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.005660995865604,4.793232196642782,4.790204213089234,0.4624488065563173,4.966548132781543e-05,0.04431479511880562,0.026185014685096503
41,run_1745405532,2025-04-23 06:52:12,workit,"100","3","5","1","small_world","75","workit","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.005660995865604,4.793232196642782,4.784870308900211,0.46195965046959037,4.966548132781543e-05,0.04431479511880562,0.02534110808603028
42,run_1745405532,2025-04-23 06:52:12,workit,"100","3","5","1","small_world","75","workit","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.005660995865604,4.793232196642782,4.784870308900211,0.46196889329663987,4.966548132781543e-05,0.04431479511880562,0.02534110808603028
43,run_1745405532,2025-04-23 06:52:12,workit,"100","3","5","1","small_world","75","workit","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.005660995865604,4.793232196642782,4.784870308900211,0.46197303105577303,4.966548132781543e-05,0.04431479511880562,0.02534110808603028
44,run_1745405532,2025-04-23 06:52:12,workit,"100","3","5","1","small_world","75","workit","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.005660995865604,4.793232196642782,4.784870308900211,0.46197325586786997,4.966548132781543e-05,0.04431479511880562,0.02534110808603028
45,run_1745405532,2025-04-23 06:52:12,workit,"100","3","5","1","small_world","75","workit","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.005660995865604,4.793232196642782,4.784870308900211,0.46197052794820304,4.966548132781543e-05,0.04431479511880562,0.02534110808603028
46,run_1745405532,2025-04-23 06:52:12,workit,"100","3","5","1","small_world","75","workit","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.005660995865604,4.793232196642782,4.784870308900211,0.46196561830333727,4.966548132781543e-05,0.04431479511880562,0.02534110808603028
47,run_1745405532,2025-04-23 06:52:12,workit,"100","3","5","1","small_world","75","workit","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.005660995865604,4.793232196642782,4.784870308900211,0.4619591437611028,4.966548132781543e-05,0.04431479511880562,0.02534110808603028
48,run_1745405532,2025-04-23 06:52:12,workit,"100","3","5","1","small_world","75","workit","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.005660995865604,4.793232196642782,4.784870308900211,0.4619515956925425,4.966548132781543e-05,0.04431479511880562,0.02534110808603028
49,run_1745405532,2025-04-23 06:52:12,workit,"100","3","5","1","small_world","75","workit","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.005660995865604,4.793232196642782,4.784870308900211,0.4619433635454756,4.966548132781543e-05,0.04431479511880562,0.02534110808603028
50,run_1745405532,2025-04-23 06:52:12,workit,"100","3","5","1","small_world","75","workit","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.005660995865604,4.793232196642782,4.784870308900211,0.46193475411207396,4.966548132781543e-05,0.04431479511880562,0.02534110808603028
51,run_1745405532,2025-04-23 06:52:12,workit,"100","3","5","1","small_world","75","workit","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.005660995865604,4.793232196642782,4.784870308900211,0.4619260072902271,4.966548132781543e-05,0.04431479511880562,0.02534110808603028
52,run_1745405532,2025-04-23 06:52:12,workit,"100","3","5","1","small_world","75","workit","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.005660995865604,4.793232196642782,4.784870308900211,0.46191730896441063,4.966548132781543e-05,0.04431479511880562,0.02534110808603028
53,run_1745405532,2025-04-23 06:52:12,workit,"100","3","5","1","small_world","75","workit","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.005660995865604,4.793232196642782,4.784870308900211,0.4619088015212607,4.966548132781543e-05,0.04431479511880562,0.02534110808603028
54,run_1745405532,2025-04-23 06:52:12,workit,"100","3","5","1","small_world","75","workit","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.005660995865604,4.793232196642782,4.784870308900211,0.46190059242396025,4.966548132781543e-05,0.04431479511880562,0.02534110808603028
55,run_1745405532,2025-04-23 06:52:12,workit,"100","3","5","1","small_world","75","workit","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.005660995865604,4.793232196642782,4.784870308900211,0.46189276119446226,4.966548132781543e-05,0.04431479511880562,0.02534110808603028
56,run_1745405532,2025-04-23 06:52:12,workit,"100","3","5","1","small_world","75","workit","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.005660995865604,4.793232196642782,4.784870308900211,0.4618853650906995,4.966548132781543e-05,0.04431479511880562,0.02534110808603028
57,run_1745405532,2025-04-23 06:52:12,workit,"100","3","5","1","small_world","75","workit","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.005660995865604,4.793232196642782,4.784870308900211,0.4618784437149391,4.966548132781543e-05,0.04431479511880562,0.02534110808603028
58,run_1745405532,2025-04-23 06:52:12,workit,"100","3","5","1","small_world","75","workit","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.005660995865604,4.793232196642782,4.784870308900211,0.46187202274743844,4.966548132781543e-05,0.04431479511880562,0.02534110808603028
59,run_1745405532,2025-04-23 06:52:12,workit,"100","3","5","1","small_world","75","workit","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.005660995865604,4.793232196642782,4.784870308900211,0.46186611696494845,4.966548132781543e-05,0.04431479511880562,0.02534110808603028
60,run_1745405532,2025-04-23 06:52:12,workit,"100","3","5","1","small_world","75","workit","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.005660995865604,4.793232196642782,4.784870308900211,0.4618607326751169,4.966548132781543e-05,0.04431479511880562,0.02534110808603028
61,run_1745405532,2025-04-23 06:52:12,workit,"100","3","5","1","small_world","75","workit","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.005660995865604,4.793232196642782,4.784870308900211,0.4618558696743772,4.966548132781543e-05,0.04431479511880562,0.02534110808603028
62,run_1745405532,2025-04-23 06:52:12,workit,"100","3","5","1","small_world","75","workit","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.005660995865604,4.793232196642782,4.784870308900211,0.46185152281759156,4.966548132781543e-05,0.04431479511880562,0.02534110808603028
63,run_1745405532,2025-04-23 06:52:12,workit,"100","3","5","1","small_world","75","workit","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.005660995865604,4.793232196642782,4.784870308900211,0.46184768327182263,4.966548132781543e-05,0.04431479511880562,0.02534110808603028
64,run_1745405532,2025-04-23 06:52:12,workit,"100","3","5","1","small_world","75","workit","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.005660995865604,4.793232196642782,4.784870308900211,0.4618443395135343,4.966548132781543e-05,0.04431479511880562,0.02534110808603028
65,run_1745405532,2025-04-23 06:52:12,workit,"100","3","5","1","small_world","75","workit","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.005660995865604,4.793232196642782,4.784870308900211,0.461841478117764,4.966548132781543e-05,0.04431479511880562,0.02534110808603028
