step,run_id,timestamp,name,num_citizens="100",num_corporate_media="3",num_influencers="5",num_government="1",network_type="small_world",steps="75",simulationName="low-trust-med-accuracy-s1",truth_seeking_mean="0",truth_seeking_std="2.5",confirmation_bias_min="3",confirmation_bias_max="8",critical_thinking_min="3",critical_thinking_max="8",social_conformity_min="3",social_conformity_max="8",initial_trust_in_corporate="5",initial_trust_in_influencers="5",initial_trust_in_government="1",corporate_bias_min="-3",corporate_bias_max="3",truth_commitment_corporate="6",corporate_publication_rate="1",corporate_influence_reach="0.7",influencer_bias_min="-4",influencer_bias_max="4",truth_commitment_influencer="4",influencer_publication_rate="1",influencer_influence_reach="0.5",government_bias="1",truth_commitment_government="5",government_publication_rate="1",government_influence_reach="0.6",small_world_k="4",small_world_p="0.1",scale_free_m="3",random_p="0.1",avg_trust_corporate,avg_trust_government,avg_trust_influencer,avg_truth_assessment,trust_var_corporate,trust_var_government,trust_var_influencer
50,run_1746380231,2025-05-04 13:37:11,low-trust-med-accuracy-s1,"100","3","5","1","small_world","75","low-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.623383682755202,1.070642806907462,4.891085752088248,0.48887519357855164,0.6002889382202294,0.009909678253182974,0.009687139862235097
51,run_1746380231,2025-05-04 13:37:11,low-trust-med-accuracy-s1,"100","3","5","1","small_world","75","low-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.623383682755202,1.070642806907462,4.891085752088248,0.48872406629030707,0.6002889382202294,0.009909678253182974,0.009687139862235097
52,run_1746380231,2025-05-04 13:37:11,low-trust-med-accuracy-s1,"100","3","5","1","small_world","75","low-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.623383682755202,1.070642806907462,4.891085752088248,0.48857798528576085,0.6002889382202294,0.009909678253182974,0.009687139862235097
53,run_1746380231,2025-05-04 13:37:11,low-trust-med-accuracy-s1,"100","3","5","1","small_world","75","low-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.623383682755202,1.070642806907462,4.891085752088248,0.48843672031388097,0.6002889382202294,0.009909678253182974,0.009687139862235097
54,run_1746380231,2025-05-04 13:37:11,low-trust-med-accuracy-s1,"100","3","5","1","small_world","75","low-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.623383682755202,1.070642806907462,4.891085752088248,0.48830005130858395,0.6002889382202294,0.009909678253182974,0.009687139862235097
55,run_1746380231,2025-05-04 13:37:11,low-trust-med-accuracy-s1,"100","3","5","1","small_world","75","low-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.623383682755202,1.070642806907462,4.891085752088248,0.48816776817179997,0.6002889382202294,0.009909678253182974,0.009687139862235097
56,run_1746380231,2025-05-04 13:37:11,low-trust-med-accuracy-s1,"100","3","5","1","small_world","75","low-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.623383682755202,1.070642806907462,4.891085752088248,0.4880396705153164,0.6002889382202294,0.009909678253182974,0.009687139862235097
57,run_1746380231,2025-05-04 13:37:11,low-trust-med-accuracy-s1,"100","3","5","1","small_world","75","low-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.623383682755202,1.070642806907462,4.891085752088248,0.48791556737168335,0.6002889382202294,0.009909678253182974,0.009687139862235097
58,run_1746380231,2025-05-04 13:37:11,low-trust-med-accuracy-s1,"100","3","5","1","small_world","75","low-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.623383682755202,1.070642806907462,4.891085752088248,0.48779527688271573,0.6002889382202294,0.009909678253182974,0.009687139862235097
59,run_1746380231,2025-05-04 13:37:11,low-trust-med-accuracy-s1,"100","3","5","1","small_world","75","low-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.623383682755202,1.070642806907462,4.891085752088248,0.48767862597263606,0.6002889382202294,0.009909678253182974,0.009687139862235097
