step,run_id,timestamp,name,num_citizens="100",num_corporate_media="3",num_influencers="5",num_government="1",network_type="small_world",citizen_truth_seeking_mean="0",citizen_truth_seeking_std="2.5",citizen_confirmation_bias_min="3",citizen_confirmation_bias_max="8",citizen_critical_thinking_min="3",citizen_critical_thinking_max="8",citizen_social_conformity_min="3",citizen_social_conformity_max="8",citizen_initial_trust_in_corporate="5",citizen_initial_trust_in_influencers="5",citizen_initial_trust_in_government="5",media_corporate_bias_range="[-3; 3]",media_influencer_bias_range="[-4; 4]",media_government_bias="1",media_truth_commitment_corporate="6",media_truth_commitment_influencer="4",media_truth_commitment_government="5",media_corporate_publication_rate="1.0",media_corporate_influence_reach="0.7",media_influencer_publication_rate="1.0",media_influencer_influence_reach="0.5",media_government_publication_rate="1.0",media_government_influence_reach="0.6",network_small_world_k="4",network_small_world_p="0.1",network_scale_free_m="3",network_random_p="0.1",avg_trust_corporate,avg_trust_government,avg_trust_influencer,avg_truth_assessment,current_step,max_trust_corporate,max_trust_government,min_trust_corporate,min_trust_government,trust_govt_25pct,trust_govt_75pct,trust_var_corporate,trust_var_government,trust_var_influencer,truth_assessment_var
42,0a060d40,2025-04-23 05:52:30,,"100","3","5","1","small_world","0","2.5","3","8","3","8","3","8","5","5","5","[-3; 3]","[-4; 4]","1","6","4","5","1.0","0.7","1.0","0.5","1.0","0.6","4","0.1","3","0.1",5.542144535400524,5.095915912397829,4.282012768000006,0.5127824008274077,42.0,6.482294957815309,5.289412237350012,5.0,5.0,5.0,5.224796344785851,0.35389712641436427,0.01363376126030381,0.3888813881491322,0.008085509192808017
43,0a060d40,2025-04-23 05:52:30,,"100","3","5","1","small_world","0","2.5","3","8","3","8","3","8","5","5","5","[-3; 3]","[-4; 4]","1","6","4","5","1.0","0.7","1.0","0.5","1.0","0.6","4","0.1","3","0.1",5.542144535400524,5.095915912397829,4.282012768000006,0.512900467569361,43.0,6.482294957815309,5.289412237350012,5.0,5.0,5.0,5.224796344785851,0.35389712641436427,0.01363376126030381,0.3888813881491322,0.007970512178991982
44,0a060d40,2025-04-23 05:52:30,,"100","3","5","1","small_world","0","2.5","3","8","3","8","3","8","5","5","5","[-3; 3]","[-4; 4]","1","6","4","5","1.0","0.7","1.0","0.5","1.0","0.6","4","0.1","3","0.1",5.542144535400524,5.095915912397829,4.282012768000006,0.5130131006947904,44.0,6.482294957815309,5.289412237350012,5.0,5.0,5.0,5.224796344785851,0.35389712641436427,0.01363376126030381,0.3888813881491322,0.007858429362727378
45,0a060d40,2025-04-23 05:52:30,,"100","3","5","1","small_world","0","2.5","3","8","3","8","3","8","5","5","5","[-3; 3]","[-4; 4]","1","6","4","5","1.0","0.7","1.0","0.5","1.0","0.6","4","0.1","3","0.1",5.542144535400524,5.095915912397829,4.282012768000006,0.5131207588433854,45.0,6.482294957815309,5.289412237350012,5.0,5.0,5.0,5.224796344785851,0.35389712641436427,0.01363376126030381,0.3888813881491322,0.007749129975539964
46,0a060d40,2025-04-23 05:52:30,,"100","3","5","1","small_world","0","2.5","3","8","3","8","3","8","5","5","5","[-3; 3]","[-4; 4]","1","6","4","5","1.0","0.7","1.0","0.5","1.0","0.6","4","0.1","3","0.1",5.542144535400524,5.095915912397829,4.272177592639864,0.5129093733021576,46.0,6.482294957815309,5.289412237350012,5.0,5.0,5.0,5.224796344785851,0.35389712641436427,0.01363376126030381,0.3843346642451157,0.007623231460728007
47,0a060d40,2025-04-23 05:52:30,,"100","3","5","1","small_world","0","2.5","3","8","3","8","3","8","5","5","5","[-3; 3]","[-4; 4]","1","6","4","5","1.0","0.7","1.0","0.5","1.0","0.6","4","0.1","3","0.1",5.542144535400524,5.095915912397829,4.259566530702735,0.5126185532151952,47.0,6.482294957815309,5.289412237350012,5.0,5.0,5.0,5.224796344785851,0.35389712641436427,0.01363376126030381,0.3817222867632465,0.007481676501368702
48,0a060d40,2025-04-23 05:52:30,,"100","3","5","1","small_world","0","2.5","3","8","3","8","3","8","5","5","5","[-3; 3]","[-4; 4]","1","6","4","5","1.0","0.7","1.0","0.5","1.0","0.6","4","0.1","3","0.1",5.542144535400524,5.095915912397829,4.259566530702735,0.5126726874530122,48.0,6.482294957815309,5.289412237350012,5.0,5.0,5.0,5.224796344785851,0.35389712641436427,0.01363376126030381,0.3817222867632465,0.0073742115498834195
49,0a060d40,2025-04-23 05:52:30,,"100","3","5","1","small_world","0","2.5","3","8","3","8","3","8","5","5","5","[-3; 3]","[-4; 4]","1","6","4","5","1.0","0.7","1.0","0.5","1.0","0.6","4","0.1","3","0.1",5.542144535400524,5.095915912397829,4.259566530702735,0.512732040768564,49.0,6.482294957815309,5.289412237350012,5.0,5.0,5.0,5.224796344785851,0.35389712641436427,0.01363376126030381,0.3817222867632465,0.007270886294839923
50,0a060d40,2025-04-23 05:52:30,,"100","3","5","1","small_world","0","2.5","3","8","3","8","3","8","5","5","5","[-3; 3]","[-4; 4]","1","6","4","5","1.0","0.7","1.0","0.5","1.0","0.6","4","0.1","3","0.1",5.542144535400524,5.095915912397829,4.259566530702735,0.5127951091472568,50.0,6.482294957815309,5.289412237350012,5.0,5.0,5.0,5.224796344785851,0.35389712641436427,0.01363376126030381,0.3817222867632465,0.007171166259244023
51,0a060d40,2025-04-23 05:52:30,,"100","3","5","1","small_world","0","2.5","3","8","3","8","3","8","5","5","5","[-3; 3]","[-4; 4]","1","6","4","5","1.0","0.7","1.0","0.5","1.0","0.6","4","0.1","3","0.1",5.542144535400524,5.095915912397829,4.259566530702735,0.5128606905473204,51.0,6.482294957815309,5.289412237350012,5.0,5.0,5.0,5.224796344785851,0.35389712641436427,0.01363376126030381,0.3817222867632465,0.007074639100119432
