step,run_id,timestamp,name,num_citizens="100",num_corporate_media="3",num_influencers="5",num_government="1",network_type="scale_free",steps="75",simulationName="scale-free-low-s3",truth_seeking_mean="0",truth_seeking_std="2.5",confirmation_bias_min="3",confirmation_bias_max="8",critical_thinking_min="3",critical_thinking_max="8",social_conformity_min="3",social_conformity_max="8",initial_trust_in_corporate="5",initial_trust_in_influencers="5",initial_trust_in_government="5",corporate_bias_min="-3",corporate_bias_max="3",truth_commitment_corporate="6",corporate_publication_rate="1",corporate_influence_reach="0.7",influencer_bias_min="-4",influencer_bias_max="4",truth_commitment_influencer="4",influencer_publication_rate="1",influencer_influence_reach="0.5",government_bias="1",truth_commitment_government="1",government_publication_rate="1",government_influence_reach="0.6",small_world_k="4",small_world_p="0.1",scale_free_m="1",random_p="0.1",avg_trust_corporate,avg_trust_government,avg_trust_influencer,avg_truth_assessment,trust_var_corporate,trust_var_government,trust_var_influencer
37,run_1746381785,2025-05-04 14:03:05,scale-free-low-s3,"100","3","5","1","scale_free","75","scale-free-low-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","1","0.1",5.556135380848451,3.8995178705294706,4.473177017341804,0.4710060756521684,0.43864212597084884,1.953798752581894,0.28825545504583383
38,run_1746381785,2025-05-04 14:03:05,scale-free-low-s3,"100","3","5","1","scale_free","75","scale-free-low-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","1","0.1",5.556135380848451,3.8995178705294706,4.473177017341804,0.4708444356505814,0.43864212597084884,1.953798752581894,0.28825545504583383
39,run_1746381785,2025-05-04 14:03:05,scale-free-low-s3,"100","3","5","1","scale_free","75","scale-free-low-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","1","0.1",5.556135380848451,3.8995178705294706,4.441533792872362,0.4697141006870604,0.43864212597084884,1.953798752581894,0.28791694021295444
40,run_1746381785,2025-05-04 14:03:05,scale-free-low-s3,"100","3","5","1","scale_free","75","scale-free-low-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","1","0.1",5.556135380848451,3.8995178705294706,4.441533792872362,0.46963381633824824,0.43864212597084884,1.953798752581894,0.28791694021295444
41,run_1746381785,2025-05-04 14:03:05,scale-free-low-s3,"100","3","5","1","scale_free","75","scale-free-low-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","1","0.1",5.556135380848451,3.8995178705294706,4.441533792872362,0.4695402522675497,0.43864212597084884,1.953798752581894,0.28791694021295444
42,run_1746381785,2025-05-04 14:03:05,scale-free-low-s3,"100","3","5","1","scale_free","75","scale-free-low-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","1","0.1",5.556135380848451,3.8995178705294706,4.441533792872362,0.4694370238417641,0.43864212597084884,1.953798752581894,0.28791694021295444
43,run_1746381785,2025-05-04 14:03:05,scale-free-low-s3,"100","3","5","1","scale_free","75","scale-free-low-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","1","0.1",5.556135380848451,3.8995178705294706,4.441533792872362,0.4693269970330264,0.43864212597084884,1.953798752581894,0.28791694021295444
44,run_1746381785,2025-05-04 14:03:05,scale-free-low-s3,"100","3","5","1","scale_free","75","scale-free-low-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","1","0.1",5.556135380848451,3.8995178705294706,4.441533792872362,0.46921243929184764,0.43864212597084884,1.953798752581894,0.28791694021295444
45,run_1746381785,2025-05-04 14:03:05,scale-free-low-s3,"100","3","5","1","scale_free","75","scale-free-low-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","1","0.1",5.556135380848451,3.8995178705294706,4.441533792872362,0.46909513986441326,0.43864212597084884,1.953798752581894,0.28791694021295444
46,run_1746381785,2025-05-04 14:03:05,scale-free-low-s3,"100","3","5","1","scale_free","75","scale-free-low-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","1","0.1",5.556135380848451,3.8995178705294706,4.441533792872362,0.4689765058125399,0.43864212597084884,1.953798752581894,0.28791694021295444
