step,run_id,timestamp,name,num_citizens="100",num_corporate_media="3",num_influencers="5",num_government="1",network_type="scale_free",steps="75",simulationName="scale-free-high-s3",truth_seeking_mean="0",truth_seeking_std="2.5",confirmation_bias_min="3",confirmation_bias_max="8",critical_thinking_min="3",critical_thinking_max="8",social_conformity_min="3",social_conformity_max="8",initial_trust_in_corporate="5",initial_trust_in_influencers="5",initial_trust_in_government="5",corporate_bias_min="-3",corporate_bias_max="3",truth_commitment_corporate="6",corporate_publication_rate="1",corporate_influence_reach="0.7",influencer_bias_min="-4",influencer_bias_max="4",truth_commitment_influencer="4",influencer_publication_rate="1",influencer_influence_reach="0.5",government_bias="1",truth_commitment_government="1",government_publication_rate="1",government_influence_reach="0.6",small_world_k="4",small_world_p="0.1",scale_free_m="5",random_p="0.1",avg_trust_corporate,avg_trust_government,avg_trust_influencer,avg_truth_assessment,trust_var_corporate,trust_var_government,trust_var_influencer
36,run_1746381846,2025-05-04 14:04:06,scale-free-high-s3,"100","3","5","1","scale_free","75","scale-free-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","5","0.1",5.11726792475387,3.7898830429118964,3.9976997706671824,0.4422914821160237,0.018778401844352956,2.3424882172759083,0.6168413652881912
37,run_1746381846,2025-05-04 14:04:06,scale-free-high-s3,"100","3","5","1","scale_free","75","scale-free-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","5","0.1",5.11726792475387,3.7898830429118964,3.9976997706671824,0.44221341136474,0.018778401844352956,2.3424882172759083,0.6168413652881912
38,run_1746381846,2025-05-04 14:04:06,scale-free-high-s3,"100","3","5","1","scale_free","75","scale-free-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","5","0.1",5.11726792475387,3.7898830429118964,3.9976997706671824,0.4421402199122974,0.018778401844352956,2.3424882172759083,0.6168413652881912
39,run_1746381846,2025-05-04 14:04:06,scale-free-high-s3,"100","3","5","1","scale_free","75","scale-free-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","5","0.1",5.11726792475387,3.7898830429118964,3.9976997706671824,0.4420715964313196,0.018778401844352956,2.3424882172759083,0.6168413652881912
40,run_1746381846,2025-05-04 14:04:06,scale-free-high-s3,"100","3","5","1","scale_free","75","scale-free-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","5","0.1",5.11726792475387,3.7898830429118964,3.9976997706671824,0.44200724801111385,0.018778401844352956,2.3424882172759083,0.6168413652881912
41,run_1746381846,2025-05-04 14:04:06,scale-free-high-s3,"100","3","5","1","scale_free","75","scale-free-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","5","0.1",5.11726792475387,3.7898830429118964,3.9976997706671824,0.441946899545931,0.018778401844352956,2.3424882172759083,0.6168413652881912
42,run_1746381846,2025-05-04 14:04:06,scale-free-high-s3,"100","3","5","1","scale_free","75","scale-free-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","5","0.1",5.11726792475387,3.7898830429118964,3.9976997706671824,0.4418902930247109,0.018778401844352956,2.3424882172759083,0.6168413652881912
43,run_1746381846,2025-05-04 14:04:06,scale-free-high-s3,"100","3","5","1","scale_free","75","scale-free-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","5","0.1",5.11726792475387,3.7898830429118964,3.9976997706671824,0.44183718675687667,0.018778401844352956,2.3424882172759083,0.6168413652881912
44,run_1746381846,2025-05-04 14:04:06,scale-free-high-s3,"100","3","5","1","scale_free","75","scale-free-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","5","0.1",5.11726792475387,3.7898830429118964,3.9976997706671824,0.44178735456116924,0.018778401844352956,2.3424882172759083,0.6168413652881912
45,run_1746381846,2025-05-04 14:04:06,scale-free-high-s3,"100","3","5","1","scale_free","75","scale-free-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","5","0.1",5.11726792475387,3.7898830429118964,3.9976997706671824,0.44174058493840007,0.018778401844352956,2.3424882172759083,0.6168413652881912
46,run_1746381846,2025-05-04 14:04:06,scale-free-high-s3,"100","3","5","1","scale_free","75","scale-free-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","5","0.1",5.11726792475387,3.7898830429118964,3.9976997706671824,0.4416966802440824,0.018778401844352956,2.3424882172759083,0.6168413652881912
47,run_1746381846,2025-05-04 14:04:06,scale-free-high-s3,"100","3","5","1","scale_free","75","scale-free-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","5","0.1",5.11726792475387,3.7898830429118964,3.9976997706671824,0.4416554558729595,0.018778401844352956,2.3424882172759083,0.6168413652881912
48,run_1746381846,2025-05-04 14:04:06,scale-free-high-s3,"100","3","5","1","scale_free","75","scale-free-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","5","0.1",5.11726792475387,3.7898830429118964,3.9976997706671824,0.4416167394642955,0.018778401844352956,2.3424882172759083,0.6168413652881912
49,run_1746381846,2025-05-04 14:04:06,scale-free-high-s3,"100","3","5","1","scale_free","75","scale-free-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","5","0.1",5.11726792475387,3.7898830429118964,3.9976997706671824,0.4415803701342875,0.018778401844352956,2.3424882172759083,0.6168413652881912
