step,run_id,timestamp,name,num_citizens="100",num_corporate_media="3",num_influencers="5",num_government="1",network_type="random",steps="75",simulationName="random-med-s1",truth_seeking_mean="0",truth_seeking_std="2.5",confirmation_bias_min="3",confirmation_bias_max="8",critical_thinking_min="3",critical_thinking_max="8",social_conformity_min="3",social_conformity_max="8",initial_trust_in_corporate="5",initial_trust_in_influencers="5",initial_trust_in_government="5",corporate_bias_min="-3",corporate_bias_max="3",truth_commitment_corporate="6",corporate_publication_rate="1",corporate_influence_reach="0.7",influencer_bias_min="-4",influencer_bias_max="4",truth_commitment_influencer="4",influencer_publication_rate="1",influencer_influence_reach="0.5",government_bias="1",truth_commitment_government="1",government_publication_rate="1",government_influence_reach="0.6",small_world_k="4",small_world_p="0.1",scale_free_m="3",random_p="0.1",avg_trust_corporate,avg_trust_government,avg_trust_influencer,avg_truth_assessment,trust_var_corporate,trust_var_government,trust_var_influencer
46,run_1746382088,2025-05-04 14:08:08,random-med-s1,"100","3","5","1","random","75","random-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.108939006731683,3.9653903599016487,4.944458883376802,0.4932512882045679,0.012772467348891791,2.248548792336014,0.002628088898597181
47,run_1746382088,2025-05-04 14:08:08,random-med-s1,"100","3","5","1","random","75","random-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.108939006731683,3.9653903599016487,4.944458883376802,0.4932584550704039,0.012772467348891791,2.248548792336014,0.002628088898597181
48,run_1746382088,2025-05-04 14:08:08,random-med-s1,"100","3","5","1","random","75","random-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.108939006731683,3.9653903599016487,4.944458883376802,0.49326375599828576,0.012772467348891791,2.248548792336014,0.002628088898597181
49,run_1746382088,2025-05-04 14:08:08,random-med-s1,"100","3","5","1","random","75","random-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.108939006731683,3.9653903599016487,4.944458883376802,0.4932673795322405,0.012772467348891791,2.248548792336014,0.002628088898597181
50,run_1746382088,2025-05-04 14:08:08,random-med-s1,"100","3","5","1","random","75","random-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.108939006731683,3.9653903599016487,4.944458883376802,0.49326949784745344,0.012772467348891791,2.248548792336014,0.002628088898597181
51,run_1746382088,2025-05-04 14:08:08,random-med-s1,"100","3","5","1","random","75","random-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.108939006731683,3.9653903599016487,4.944458883376802,0.4932702681492417,0.012772467348891791,2.248548792336014,0.002628088898597181
52,run_1746382088,2025-05-04 14:08:08,random-med-s1,"100","3","5","1","random","75","random-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.108939006731683,3.9653903599016487,4.944458883376802,0.4932698339462231,0.012772467348891791,2.248548792336014,0.002628088898597181
53,run_1746382088,2025-05-04 14:08:08,random-med-s1,"100","3","5","1","random","75","random-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.108939006731683,3.9653903599016487,4.944458883376802,0.4932683262101561,0.012772467348891791,2.248548792336014,0.002628088898597181
54,run_1746382088,2025-05-04 14:08:08,random-med-s1,"100","3","5","1","random","75","random-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.108939006731683,3.9653903599016487,4.944458883376802,0.49326586443352594,0.012772467348891791,2.248548792336014,0.002628088898597181
55,run_1746382088,2025-05-04 14:08:08,random-med-s1,"100","3","5","1","random","75","random-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.108939006731683,3.9653903599016487,4.944458883376802,0.49326255759473786,0.012772467348891791,2.248548792336014,0.002628088898597181
56,run_1746382088,2025-05-04 14:08:08,random-med-s1,"100","3","5","1","random","75","random-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.108939006731683,3.9653903599016487,4.944458883376802,0.49325850503969426,0.012772467348891791,2.248548792336014,0.002628088898597181
57,run_1746382088,2025-05-04 14:08:08,random-med-s1,"100","3","5","1","random","75","random-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.108939006731683,3.9653903599016487,4.944458883376802,0.4932537972876083,0.012772467348891791,2.248548792336014,0.002628088898597181
58,run_1746382088,2025-05-04 14:08:08,random-med-s1,"100","3","5","1","random","75","random-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.108939006731683,3.9653903599016487,4.944458883376802,0.4932485167680676,0.012772467348891791,2.248548792336014,0.002628088898597181
59,run_1746382088,2025-05-04 14:08:08,random-med-s1,"100","3","5","1","random","75","random-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.108939006731683,3.9653903599016487,4.944458883376802,0.49324273849564093,0.012772467348891791,2.248548792336014,0.002628088898597181
60,run_1746382088,2025-05-04 14:08:08,random-med-s1,"100","3","5","1","random","75","random-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.108939006731683,3.9653903599016487,4.944458883376802,0.4932365306876778,0.012772467348891791,2.248548792336014,0.002628088898597181
61,run_1746382088,2025-05-04 14:08:08,random-med-s1,"100","3","5","1","random","75","random-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.108939006731683,3.9653903599016487,4.944458883376802,0.49322995533037906,0.012772467348891791,2.248548792336014,0.002628088898597181
62,run_1746382088,2025-05-04 14:08:08,random-med-s1,"100","3","5","1","random","75","random-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.108939006731683,3.9653903599016487,4.944458883376802,0.4932230686977207,0.012772467348891791,2.248548792336014,0.002628088898597181
63,run_1746382088,2025-05-04 14:08:08,random-med-s1,"100","3","5","1","random","75","random-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.108939006731683,3.9653903599016487,4.944458883376802,0.49321592182735885,0.012772467348891791,2.248548792336014,0.002628088898597181
64,run_1746382088,2025-05-04 14:08:08,random-med-s1,"100","3","5","1","random","75","random-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.108939006731683,3.9653903599016487,4.944458883376802,0.4932085609572507,0.012772467348891791,2.248548792336014,0.002628088898597181
65,run_1746382088,2025-05-04 14:08:08,random-med-s1,"100","3","5","1","random","75","random-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.108939006731683,3.9653903599016487,4.944458883376802,0.4932010279263732,0.012772467348891791,2.248548792336014,0.002628088898597181
66,run_1746382088,2025-05-04 14:08:08,random-med-s1,"100","3","5","1","random","75","random-med-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.108939006731683,3.9653903599016487,4.944458883376802,0.4931933605425995,0.012772467348891791,2.248548792336014,0.002628088898597181
