step,run_id,timestamp,name,num_citizens="100",num_corporate_media="3",num_influencers="5",num_government="1",network_type="small_world",steps="75",simulationName="small-world-low-s2",truth_seeking_mean="0",truth_seeking_std="2.5",confirmation_bias_min="3",confirmation_bias_max="8",critical_thinking_min="3",critical_thinking_max="8",social_conformity_min="3",social_conformity_max="8",initial_trust_in_corporate="5",initial_trust_in_influencers="5",initial_trust_in_government="5",corporate_bias_min="-3",corporate_bias_max="3",truth_commitment_corporate="6",corporate_publication_rate="1",corporate_influence_reach="0.7",influencer_bias_min="-4",influencer_bias_max="4",truth_commitment_influencer="4",influencer_publication_rate="1",influencer_influence_reach="0.5",government_bias="1",truth_commitment_government="1",government_publication_rate="1",government_influence_reach="0.6",small_world_k="2",small_world_p="0.1",scale_free_m="3",random_p="0.1",avg_trust_corporate,avg_trust_government,avg_trust_influencer,avg_truth_assessment,trust_var_corporate,trust_var_government,trust_var_influencer
42,run_1746381393,2025-05-04 13:56:33,small-world-low-s2,"100","3","5","1","small_world","75","small-world-low-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","2","0.1","3","0.1",5.1646952964646315,3.804393468201188,4.410294248961294,0.45055073876201446,0.038670267820161655,2.2192171039123054,0.37436696060398494
43,run_1746381393,2025-05-04 13:56:33,small-world-low-s2,"100","3","5","1","small_world","75","small-world-low-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","2","0.1","3","0.1",5.1646952964646315,3.804393468201188,4.384820717952204,0.4500276042013698,0.038670267820161655,2.2192171039123054,0.3765278740154867
44,run_1746381393,2025-05-04 13:56:33,small-world-low-s2,"100","3","5","1","small_world","75","small-world-low-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","2","0.1","3","0.1",5.1646952964646315,3.804393468201188,4.374103669900695,0.4502828920816016,0.038670267820161655,2.2192171039123054,0.3747127189383845
45,run_1746381393,2025-05-04 13:56:33,small-world-low-s2,"100","3","5","1","small_world","75","small-world-low-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","2","0.1","3","0.1",5.1646952964646315,3.804393468201188,4.374103669900695,0.45047470692003516,0.038670267820161655,2.2192171039123054,0.3747127189383845
46,run_1746381393,2025-05-04 13:56:33,small-world-low-s2,"100","3","5","1","small_world","75","small-world-low-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","2","0.1","3","0.1",5.1646952964646315,3.804393468201188,4.374103669900695,0.4506599843813712,0.038670267820161655,2.2192171039123054,0.3747127189383845
47,run_1746381393,2025-05-04 13:56:33,small-world-low-s2,"100","3","5","1","small_world","75","small-world-low-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","2","0.1","3","0.1",5.1646952964646315,3.804393468201188,4.374103669900695,0.45083945220979904,0.038670267820161655,2.2192171039123054,0.3747127189383845
48,run_1746381393,2025-05-04 13:56:33,small-world-low-s2,"100","3","5","1","small_world","75","small-world-low-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","2","0.1","3","0.1",5.1646952964646315,3.804393468201188,4.374103669900695,0.45101370284926573,0.038670267820161655,2.2192171039123054,0.3747127189383845
49,run_1746381393,2025-05-04 13:56:33,small-world-low-s2,"100","3","5","1","small_world","75","small-world-low-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","2","0.1","3","0.1",5.1646952964646315,3.804393468201188,4.374103669900695,0.45118322297240027,0.038670267820161655,2.2192171039123054,0.3747127189383845
50,run_1746381393,2025-05-04 13:56:33,small-world-low-s2,"100","3","5","1","small_world","75","small-world-low-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","2","0.1","3","0.1",5.1646952964646315,3.804393468201188,4.374103669900695,0.4513484162300547,0.038670267820161655,2.2192171039123054,0.3747127189383845
51,run_1746381393,2025-05-04 13:56:33,small-world-low-s2,"100","3","5","1","small_world","75","small-world-low-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","2","0.1","3","0.1",5.1646952964646315,3.804393468201188,4.374103669900695,0.45150962080705476,0.038670267820161655,2.2192171039123054,0.3747127189383845
52,run_1746381393,2025-05-04 13:56:33,small-world-low-s2,"100","3","5","1","small_world","75","small-world-low-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","2","0.1","3","0.1",5.1646952964646315,3.804393468201188,4.374103669900695,0.45166712299611084,0.038670267820161655,2.2192171039123054,0.3747127189383845
53,run_1746381393,2025-05-04 13:56:33,small-world-low-s2,"100","3","5","1","small_world","75","small-world-low-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","2","0.1","3","0.1",5.1646952964646315,3.804393468201188,4.374103669900695,0.4518211677165,0.038670267820161655,2.2192171039123054,0.3747127189383845
54,run_1746381393,2025-05-04 13:56:33,small-world-low-s2,"100","3","5","1","small_world","75","small-world-low-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","2","0.1","3","0.1",5.1646952964646315,3.804393468201188,4.374103669900695,0.45197196668620987,0.038670267820161655,2.2192171039123054,0.3747127189383845
55,run_1746381393,2025-05-04 13:56:33,small-world-low-s2,"100","3","5","1","small_world","75","small-world-low-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","2","0.1","3","0.1",5.1646952964646315,3.804393468201188,4.374103669900695,0.4521197047897867,0.038670267820161655,2.2192171039123054,0.3747127189383845
56,run_1746381393,2025-05-04 13:56:33,small-world-low-s2,"100","3","5","1","small_world","75","small-world-low-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","2","0.1","3","0.1",5.1646952964646315,3.804393468201188,4.374103669900695,0.452264545056983,0.038670267820161655,2.2192171039123054,0.3747127189383845
57,run_1746381393,2025-05-04 13:56:33,small-world-low-s2,"100","3","5","1","small_world","75","small-world-low-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","2","0.1","3","0.1",5.1646952964646315,3.804393468201188,4.374103669900695,0.4524066325701557,0.038670267820161655,2.2192171039123054,0.3747127189383845
58,run_1746381393,2025-05-04 13:56:33,small-world-low-s2,"100","3","5","1","small_world","75","small-world-low-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","2","0.1","3","0.1",5.1646952964646315,3.804393468201188,4.374103669900695,0.4525460975441253,0.038670267820161655,2.2192171039123054,0.3747127189383845
59,run_1746381393,2025-05-04 13:56:33,small-world-low-s2,"100","3","5","1","small_world","75","small-world-low-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","2","0.1","3","0.1",5.1646952964646315,3.804393468201188,4.374103669900695,0.45268305776545636,0.038670267820161655,2.2192171039123054,0.3747127189383845
60,run_1746381393,2025-05-04 13:56:33,small-world-low-s2,"100","3","5","1","small_world","75","small-world-low-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","2","0.1","3","0.1",5.1646952964646315,3.804393468201188,4.374103669900695,0.4528176205347261,0.038670267820161655,2.2192171039123054,0.3747127189383845
61,run_1746381393,2025-05-04 13:56:33,small-world-low-s2,"100","3","5","1","small_world","75","small-world-low-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","2","0.1","3","0.1",5.1646952964646315,3.804393468201188,4.374103669900695,0.45294988422214033,0.038670267820161655,2.2192171039123054,0.3747127189383845
